News_ID,Link_to_check
spotfake_417,https://ria.ru/20220224/brigada-1774744108.html
spotfake_423,https://ria.ru/20220222/obse-1774258135.html?fbclid=IwAR0-UKHW1qxrUAx7_uJQxJ0Gk1yaGe8FR8qeynNe7UpO4yeSzdcLzK-9OLQ
spotfake_423,https://ria.ru/organization_Organization_for_Security_and_Co_operation_in_Europe_OSCE/
spotfake_425,https://ria.ru/20210429/fsb-1730426721.html
spotfake_427,https://ria.ru/20220218/diversiya-1773588707.html
spotfake_429,https://ria.ru/20220203/dnr-1770811801.html
spotfake_429,https://ria.ru/20220203/ukraina-1770897422.html
spotfake_430,https://ria.ru/20211216/feyk-nyus-1764021122.html
spotfake_431,https://ria.ru/20210218/neonatsisty-1597951872.html
spotfake_438,https://ria.ru/20220121/ukraina-1768841930.html?in=t
spotfake_440,https://anna-news.info/voenkor-pegov-opasaetsya-gryadushhej-rezni-so-storony-sil-teroborony-ukrainy/
spotfake_441,https://ria.ru/20220114/ukraina-1767817127.html
spotfake_442,https://ria.ru/20150416/1058932121.html
spotfake_443,https://ria.ru/20210811/primakov-1745363391.html
spotfake_443,https://ria.ru/20210811/dzhabarov-1745351990.html?in=t
spotfake_209,https://ria.ru/20220828/vovk-1812733071.html
spotfake_318,https://ria.ru/20220425/zelenskiy-1785329873.html
spotfake_387,https://ria.ru/20220305/vzryv-1776679645.html
gfc_130,https://economictimes.indiatimes.com/news/india/who-are-these-people-who-want-to-create-chaos-here-from-outside-anurag-thakur-on-kerala-blasts/articleshow/104809423.cms
gfc_627,https://en.mehrnews.com/news/205334/Tehran-condoles-Tajikistan-over-deadly-flooding-landslide
gfc_1509,https://economictimes.indiatimes.com/auto/2015-maruti-suzuki-swift-dzire-petrol-review/verdict/slideshow/46550301.cms
gfc_2041,https://consortiumnews.com/2023/09/09/nato-chief-nato-expansion-caused-russian-invasion/
gfc_2611,https://english.alarabiya.net/News/middle-east/2023/06/05/Palestinian-three-year-old-boy-shot-by-Israeli-forces-dies
gfc_2960,https://economictimes.indiatimes.com/news/international/business/moderna-finds-that-inventing-a-covid-19-vaccine-was-the-easy-part/articleshow/87558765.cms?from=mdr
gfc_3343,https://tass.com/emergencies/1664311
gfc_3554,https://ria.ru/20130713/949527894.html
gfc_3898,http://people.com/celebrity/arnold-schwarzenegger-posts-hilarious-photo-of-himself/
gfc_4619,https://economictimes.indiatimes.com/news/elections/assembly-elections/karnataka/siddaramaiah-shivakumar-family-members-of-tipu-sultan-himanta-sarma-in-karnataka/articleshow/100036417.cms
gfc_5144,https://gulfnews.com/world/asia/philippines/philippine-senator-arrested-for-graft-in-massive-public-funds-scam-case-1.1349713
gfc_5277,https://people.com/missing-titanic-submarine-all-about-the-passengers-7550485
gfc_7868,https://meduza.io/static/0001/Agora_Internet_Freedom_2017_RU.pdf#page=3
gfc_7868,https://meduza.io/static/0001/Agora_Internet_Freedom_2017_RU.pdf
gfc_9020,https://tass.com/emergencies/1326897
gfc_11014,https://money.com/credit/
gfc_11014,https://money.com/best-credit-repair-companies/
gfc_11014,https://money.com/best-identity-theft-protection/
gfc_11014,https://money.com/best-credit-monitoring-services/
gfc_11014,https://money.com/insurance/
gfc_11014,https://money.com/best-long-term-care-insurance/
gfc_11014,https://money.com/best-pet-insurance/
gfc_11014,https://money.com/best-life-insurance/
gfc_11014,https://money.com/best-travel-insurance/
gfc_11014,https://money.com/best-rv-insurance/
gfc_11014,https://money.com/best-dental-insurance/
gfc_11014,https://money.com/best-motorcycle-insurance/
gfc_11014,https://money.com/best-auto-insurance/
gfc_11014,https://money.com/best-home-insurance/
gfc_11014,https://money.com/best-health-insurance-for-self-employed/
gfc_11014,https://money.com/loans/
gfc_11014,https://money.com/best-personal-loans/
gfc_11014,https://money.com/best-small-business-loans/
gfc_11014,https://money.com/student-loans/
gfc_11014,https://money.com/best-student-loan-refinance/
gfc_11014,https://money.com/best-auto-refinance/
gfc_11014,https://money.com/best-auto-loan-rates/
gfc_11014,https://money.com/best-debt-consolidation-loans/
gfc_11014,https://money.com/mortgages/
gfc_11014,https://money.com/best-home-equity-loans/
gfc_11014,https://money.com/best-mortgage-refinance/
gfc_11014,https://money.com/best-va-loans/
gfc_11014,https://money.com/best-mortgage-lenders/
gfc_11014,https://money.com/best-reverse-mortgage/
gfc_11014,https://money.com/current-mortgage-rates/
gfc_11014,https://money.com/credit-cards/
gfc_11014,https://money.com/best-credit-cards/
gfc_11014,https://money.com/best-travel-credit-card/
gfc_11014,https://money.com/best-cash-back-credit-cards/
